NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
115,3 M CONSTRUCTION,G1,SABAH,Ranau,016-5568473,0,Yes,NO SPKK,NO STP,19/07/2025
116,3 PUTERA ENTERPRISE,G1,SARAWAK,MUKAH,01129904743,NO FAX,Yes,NO SPKK,NO STP,13/07/2025
117,3 SERANGKAI ENTERPRISE,G1,SARAWAK,Simunjan,016-5783755,NO FAX,Yes,NO SPKK,NO STP,07/03/2025
118,3 TU BINA JAYA ENTERPRISE,G3,TERENGGANU,KEMAMAN,01-99773470,NO FAX,Yes,Yes,Yes,05/03/2025
119,3 ZAF VENTURE,G1,SELANGOR,GOMBAK,0--,NO FAX,Yes,NO SPKK,NO STP,02/05/2025
120,3068 RENOVATION MARKETING,G1,SELANGOR,KLANG,03-32902101,NO FAX,Yes,NO SPKK,NO STP,28/06/2025
121,3113 ENTERPRISE,G2,SABAH,SEMPORNA,089-785041,089-781113,Yes,NO SPKK,NO STP,15/10/2025
122,313 ARMADA LEGACY,G1,PERAK,PERAK TENGAH,01-25556657,NO FAX,Yes,Yes,Yes,14/02/2024
123,313 ENTERPRISE,G1,SABAH,TAWAU,0198080422,-,Yes,Yes,Yes,17/06/2025
124,33 THREADING SERVICES,G1,SELANGOR,Subang Jaya,0,NO FAX,Yes,NO SPKK,NO STP,12/09/2025
125,3535 SOMAC EMPIRE,G1,SELANGOR,Hulu Langat,01-26993775,01-26993775,Yes,Yes,Yes,18/01/2025
126,361 DEGREE ENGINEERING & SERVICES SDN. BHD.,G3,SELANGOR,KLANG,0193501697,NO FAX,Yes,Yes,NO STP,28/02/2025
127,38 CONTRACTOR,G2,SABAH,SANDAKAN,011-3183083,0,Yes,NO SPKK,NO STP,08/05/2025
128,39 FM RESOURCES,G3,KEDAH,KULIM,0,NO FAX,Yes,NO SPKK,NO STP,02/11/2025
129,3A DEVELOPMENT & CONSTRUCTION SDN. BHD.,G1,SELANGOR,,03-79580251,NO FAX,Yes,NO SPKK,NO STP,01/06/2024
130,3A Enterprise,G1,SABAH,Kota Kinabalu,016-8293823,0,Yes,NO SPKK,NO STP,13/06/2026
131,3A GLOBAL INTEGRATED ENGINEERING SDN. BHD.,G4,SARAWAK,MIRI,08-5326881,NO FAX,Yes,Yes,NO STP,18/01/2025
132,3A INDAH ENTERPRISE,G1,PERLIS,PERLIS,0124013906,-,Yes,Yes,Yes,25/01/2026
133,3A SEPAKAT SDN. BHD.,G3,TERENGGANU,KUALA TERENGGANU,09-6223629,NO FAX,Yes,Yes,Yes,08/01/2024
134,3AAA ENTERPRISE,G1,SABAH,KENINGAU,087-312718,NO FAX,Yes,NO SPKK,NO STP,31/03/2026
135,3B BERJAYA ENTERPRISE,G1,SABAH,Kota Kinabalu,----,NO FAX,Yes,NO SPKK,NO STP,11/10/2024
136,3BINACONSTRUCT  SDN. BHD.,G5,SELANGOR,,03-79542462,03-79582462,Yes,Yes,Yes,29/03/2026
137,3C CLARA ENTERPRISE,G1,SARAWAK,MIRI,012-8530120,-,Yes,Yes,NO STP,31/01/2024
138,3D BINTANG KEJURUTERAAN SDN. BHD.,G3,PULAU PINANG,SEBERANG PERAI TENGAH,0124646909,NO FAX,Yes,NO SPKK,NO STP,30/10/2024
139,3D CONTRACTOR,G1,SARAWAK,Serian,0,0,Yes,NO SPKK,NO STP,26/10/2024
140,3D KIM LETRIK SDN. BHD.,G3,SELANGOR,,03-61429836,03-61429837,Yes,NO SPKK,NO STP,06/03/2026
141,3D RENOVATION SDN. BHD.,G3,SELANGOR,,03-61429836,03-61429837,Yes,NO SPKK,NO STP,08/03/2026
142,3DI SDN. BHD.,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0362509000,0362609010,Yes,Yes,NO STP,22/06/2024
143,3E ELECTRICAL SDN. BHD,G3,PAHANG,KUANTAN,095173518,095173512,Yes,Yes,Yes,17/06/2025
144,3E GEOSYNTHETICS SDN. BHD.,G5,SARAWAK,KUCHING,-0126528753,NO FAX,Yes,NO SPKK,NO STP,06/01/2024
145,3E JAYA SEPADU,G1,SARAWAK,MIRI,014-8761935,NO FAX,Yes,Yes,NO STP,20/04/2026
146,3F CONTRACTOR & SUPPLIES,G2,SABAH,Kota Kinabalu,0168330865,-,Yes,NO SPKK,NO STP,26/09/2024
147,3F RESOURCES SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0341430566,0341436506,Yes,Yes,Yes,20/07/2024
148,3G CONTRACTOR,G1,SABAH,KOTA MARUDU,011-3165678,NO FAX,Yes,NO SPKK,NO STP,13/09/2025
149,3G Enterprise,G3,SABAH,KENINGAU,013-8059059,NO FAX,Yes,NO SPKK,NO STP,09/07/2025
150,3I ENGINEERING SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,-0-61886135,-0-42650135,Yes,Yes,Yes,20/06/2024
151,3I ENTERPRISE,G1,SABAH,Tuaran,01169285659,NO FAX,Yes,NO SPKK,NO STP,05/08/2026
152,3K ENTERPRISE,G1,SABAH,KUALA PENYU,01151435206,NO FAX,Yes,NO SPKK,NO STP,21/12/2023
153,3K Enterprise,G1,SABAH,Kota Kinabalu,016-8306903,NO FAX,Yes,NO SPKK,NO STP,04/07/2024
154,3k new century contruction,G2,SABAH,Kota Kinabalu,016-8421678,NO FAX,Yes,NO SPKK,NO STP,30/07/2024
155,3L STEEL ENGINEERING SDN. BHD.,G3,NEGERI SEMBILAN,SEREMBAN,06-7641973,06-7640299,Yes,Yes,NO STP,27/10/2024
156,3M KL SDN. BHD.,G5,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,12/11/2025
157,3M SYNERGY SDN. BHD.,G6,SELANGOR,Hulu Langat,0387246508,0387246508,Yes,NO SPKK,NO STP,23/02/2025
158,3MJ CONSTRUCTION,G1,SABAH,KENINGAU,087-330916,NO FAX,Yes,NO SPKK,NO STP,24/08/2025
159,3NY ENTERPRISE,G1,SARAWAK,Saratok,019-8270757,0,Yes,Yes,Yes,04/07/2025
160,3PEAK CONSTRUCTION SDN BHD,G7,PERAK,KINTA,055463550,055463625,Yes,NO SPKK,NO STP,01/07/2025
161,3R BERKAT TRADING,G1,KELANTAN,TUMPAT,0129390564,-,Yes,Yes,Yes,06/02/2026
162,3R ENTERPRISE,G1,SARAWAK,SIBU,-,-,Yes,NO SPKK,NO STP,05/11/2026
163,3R GEMILANG ENTERPRISE,G1,SABAH,TAMBUNAN,011-3517300,NO FAX,Yes,NO SPKK,NO STP,21/08/2025
164,3R SENGGARA SDN. BHD.,G3,SELANGOR,PETALING,0189898773,0389406603,Yes,NO SPKK,NO STP,17/11/2024
165,3R SYSTEMS SDN. BHD.,G5,SELANGOR,PETALING,0377842929,0377842939,Yes,Yes,NO STP,14/06/2024
166,3S INDAH TEGUH SDN. BHD.,G4,SELANGOR,Hulu Langat,03-89123539,03-89257797,Yes,Yes,Yes,26/09/2025
167,3S UPCOMING ENTERPRISE,G5,SABAH,Kota Kinabalu,116-9217525,NO FAX,Yes,Yes,NO STP,02/10/2024
168,3T SYSTEM SDN. BHD.,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0,NO FAX,Yes,NO SPKK,NO STP,14/02/2025
169,3V ENTERPRISE,G1,SABAH,Nabawan,087-,NO FAX,Yes,NO SPKK,NO STP,05/07/2024
170,3VF TECHNOLOGY SDN. BHD.,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-41444763,03-41444762,Yes,NO SPKK,NO STP,03/08/2024
171,4 ACES PRESTIGE RESOURCES,G1,JOHOR,BATU PAHAT,01-92617260,NO FAX,Yes,Yes,Yes,08/08/2024
172,4 DEE KONTRAKTOR,G1,SABAH,Beluran,014-5399627,-,Yes,NO SPKK,NO STP,24/12/2024
173,4 DIMENSION TRADING,G1,KELANTAN,TUMPAT,0179832243,NO FAX,Yes,Yes,Yes,16/08/2026
174,4 H BAROKAH ENTERPRISE,G1,KELANTAN,PASIR PUTEH,01-11024262,NO FAX,Yes,Yes,Yes,15/10/2024
175,4 J ENTERPRISE,G2,SARAWAK,LIMBANG,017-8571287,017-8062243,Yes,Yes,Yes,26/09/2026
176,4 M GROUP ENTERPRISE,G1,KELANTAN,TANAH MERAH,0136248216,NO FAX,Yes,Yes,Yes,25/04/2026
177,4 SHAH LEGACY,G1,JOHOR,MUAR,0196939312,NO FAX,Yes,Yes,Yes,16/08/2025
178,4 TIME GLOBAL TECH,G1,KEDAH,SIK,01-96577198,NO FAX,Yes,Yes,Yes,06/07/2026
179,4 TIME RESOURCES,G1,KEDAH,SIK,01-11192219,NO FAX,Yes,Yes,Yes,28/03/2025
180,4 TWELVE ASPIRATION ENTERPRISE,G1,PAHANG,BENTONG,01-65481545,NO FAX,Yes,Yes,Yes,21/09/2025
181,4. GEETA ENTERPRISE,G1,SARAWAK,LIMBANG,085-217677,085-217677,Yes,NO SPKK,NO STP,10/09/2025
182,45 TH AVENUE CONSTRUCTION,G2,PERAK,KINTA,01-25152730,NO FAX,Yes,NO SPKK,NO STP,13/01/2025
183,4A LUJIB JAYA ENTERPRISE,G1,SARAWAK,LIMBANG,085-212770,085-216770,Yes,NO SPKK,NO STP,05/06/2024
184,4DEE ENTERPRISE,G1,SABAH,TONGOD,00,00,Yes,NO SPKK,NO STP,06/03/2025
185,4E FAMILY ENTERPRISE,G1,SARAWAK,Simunjan,010-9318201,0,Yes,NO SPKK,NO STP,21/11/2023
186,4G CONSTRUCTION SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-28589669,03-28589669,Yes,NO SPKK,NO STP,15/08/2026
187,4M Xavier Pegari Enterprise,G1,SARAWAK,BINTULU,013-8299322,NO FAX,Yes,NO SPKK,NO STP,29/01/2025
188,4U DIGITAL ICON SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,019-9763122,NO FAX,Yes,NO SPKK,NO STP,23/05/2025
189,5 AF ENTERPRISE,G1,JOHOR,MUAR,0142618887,NO FAX,Yes,Yes,Yes,04/07/2025
190,5 BROTHERS CONSTRUCTION,G1,SABAH,LAHAD DATU,0198282324,-,Yes,Yes,Yes,29/09/2024
191,5 HUP CONSTRUCTION SDN. BHD.,G7,SELANGOR,KLANG,03-30025592,03-30025591,Yes,NO SPKK,NO STP,22/04/2024
192,5 ISLAND ENTERPRISE,G1,KELANTAN,PASIR PUTEH,03-55453363,NO FAX,Yes,Yes,Yes,17/03/2024
193,5 JOOL ENTERPRISE,G1,SELANGOR,KUALA SELANGOR,0,NO FAX,Yes,Yes,Yes,15/03/2025
194,5 MUDA EMPIRE,G1,SELANGOR,SABAK BERNAM,01-47383787,NO FAX,Yes,Yes,Yes,16/04/2024
195,5 SAL AZ ENTERPRISE,G1,TERENGGANU,SETIU,0139910342,0139910342,Yes,Yes,Yes,05/04/2026
196,5 TALK ENTERPRISE,G1,SABAH,TELUPID,013-8652118,0,Yes,NO SPKK,NO STP,16/07/2024
197,5 ZAL TEKNIK ENTERPRISE,G1,PAHANG,BENTONG,01-1554026,NO FAX,Yes,Yes,Yes,14/02/2026
198,5555 CP INTERNITY SDN. BHD.,G3,SARAWAK,KUCHING,01-68602499,NO FAX,Yes,NO SPKK,NO STP,12/11/2025
199,5A YAKIN ENTERPRISE,G1,KEDAH,KULIM,019-4526029,019-4526029,Yes,Yes,Yes,03/02/2025
200,5E HOME TECHNOLOGY  SDN. BHD.,G3,SELANGOR,,0,NO FAX,Yes,NO SPKK,NO STP,08/09/2026
201,5M MAJU ENTERPRISE,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-07161274,-,Yes,Yes,NO STP,07/12/2023
202,5S BERSAUDARA SDN. BHD.,G1,SARAWAK,KUCHING,082-427000,082-252225,Yes,Yes,Yes,13/03/2026
203,5-STAR CERAMICS SDN. BHD.,G4,PERAK,,052550271,052550703,Yes,NO SPKK,NO STP,14/04/2024
204,5TECH SERVICE ENGINEERING SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,,0,NO FAX,Yes,Yes,NO STP,15/06/2025
